status	cos_similiarity
P-0001424-T02-IM3	0.622
P-0004140-T02-IM5	0.483
P-0005858-T01-IM5	0.731
P-0008083-T05-IM6	0.681
P-0009561-T01-IM5	0.602
P-0010098-T01-IM5	0.543
P-0024824-T01-IM6	0.751
P-0025406-T01-IM6	0.795
P-0032505-T01-IM6	0.834
P-0038647-T04-IM6	0.719
P-0044388-T01-IM6	0.683
P-0049803-T01-IM6	0.765
P-0060678-T01-IM7	0.773
P-0063407-T01-IM7	0.585
P-0063996-T01-IM7	0.79
P-0064340-T01-IM7	0.725
P-0069572-T02-IM7	0.816
P-0069850-T02-IM7	0.449
P-0070711-T01-IM7	0.678
P-0070822-T01-IM7	0.756
P-0078007-T01-IM7	0.752
P-0079215-T02-IM7	0.763
P-0084354-T09-IM7	0.795
P-0092894-T01-IM7	0.703
