SBS_signature	aetiology	category	status	exposure	rel_exposure	cos_similiarity
SBS1	Spontaneous deamination of 5-methylcytosine (Clock-like signature)	Clock	Acquired	0	0	0.92
SBS1	Spontaneous deamination of 5-methylcytosine (Clock-like signature)	Clock	Baseline	0	0	0.78
SBS2	Activity of APOBEC family of cytidine deaminases	APOBEC	Acquired	0	0	0.92
SBS2	Activity of APOBEC family of cytidine deaminases	APOBEC	Baseline	4.92854009145492	0.157526356779982	0.78
SBS3	Defective homologous recombination DNA damage repair	HRD	Acquired	78.1433137565636	0.202268737289665	0.92
SBS3	Defective homologous recombination DNA damage repair	HRD	Baseline	0	0	0.78
SBS4	Tobacco smoking	Tobacco	Acquired	0	0	0.92
SBS4	Tobacco smoking	Tobacco	Baseline	0	0	0.78
SBS5	Unknown (Clock-like signature)	Clock	Acquired	0	0	0.92
SBS5	Unknown (Clock-like signature)	Clock	Baseline	0	0	0.78
SBS6	Defective DNA mismatch repair	MMRd	Acquired	54.5801290462688	0.141277010822548	0.92
SBS6	Defective DNA mismatch repair	MMRd	Baseline	0	0	0.78
SBS7a	Ultraviolet light exposure	UV	Acquired	0	0	0.92
SBS7a	Ultraviolet light exposure	UV	Baseline	0	0	0.78
SBS7b	Ultraviolet light exposure	UV	Acquired	0	0	0.92
SBS7b	Ultraviolet light exposure	UV	Baseline	0	0	0.78
SBS7c	Ultraviolet light exposure	UV	Acquired	0	0	0.92
SBS7c	Ultraviolet light exposure	UV	Baseline	2.61371337003533	0.0835396967882332	0.78
SBS7d	Ultraviolet light exposure	UV	Acquired	0	0	0.92
SBS7d	Ultraviolet light exposure	UV	Baseline	0	0	0.78
SBS8	Unknown	Unknown	Acquired	0	0	0.92
SBS8	Unknown	Unknown	Baseline	0	0	0.78
SBS9	Polymerase eta somatic hypermutation activity	POLH	Acquired	0	0	0.92
SBS9	Polymerase eta somatic hypermutation activity	POLH	Baseline	0	0	0.78
SBS10a	Polymerase epsilon exonuclease domain mutations	POLE	Acquired	0	0	0.92
SBS10a	Polymerase epsilon exonuclease domain mutations	POLE	Baseline	0	0	0.78
SBS10b	Polymerase epsilon exonuclease domain mutations	POLE	Acquired	0	0	0.92
SBS10b	Polymerase epsilon exonuclease domain mutations	POLE	Baseline	0	0	0.78
SBS10c	Defective POLD1 proofreading	POLD1	Acquired	0	0	0.92
