subtype	acquired_tmbh	n	type	n_variant	n_total	frac_subtype
Missense	No	101	SNV	110	239	0.918181818181818
Missense	Yes	393	SNV	411	668	0.956204379562044
Nonsense	No	6	SNV	110	239	0.0545454545454545
Nonsense	Yes	14	SNV	411	668	0.0340632603406326
Other	No	3	SNV	110	239	0.0272727272727273
Other	Yes	4	SNV	411	668	0.0097323600973236
Deletion	No	7	Indel	9	239	0.777777777777778
Deletion	Yes	25	Indel	30	668	0.833333333333333
Insertion	No	2	Indel	9	239	0.222222222222222
Insertion	Yes	5	Indel	30	668	0.166666666666667
Amplification	No	78	CNV	119	239	0.65546218487395
Amplification	Yes	175	CNV	221	668	0.791855203619909
Deletion	No	41	CNV	119	239	0.34453781512605
Deletion	Yes	46	CNV	221	668	0.208144796380091
