patient_id	status	min	q1	median	mean	q3	max	sd	n
14	Acquired	0.02	1.13	3.64	4.51	5.5	42.4	6.34	48
14	Baseline	0.13	2.04	6.5	5.86	10.33	10.33	5.26	4
19	Acquired	0.12	1.2	3.27	5.14	6.75	17.29	5.27	12
19	Baseline	0.12	2.09	4.05	4.05	6.02	7.98	5.56	2
22	Acquired	0.77	1.44	2.11	3.07	4.07	6.94	2.49	5
22	Baseline	NA	NA	NA	NA	NA	NA	NA	0
23	Acquired	0.04	0.7	1.27	3.88	4.09	32.74	6.78	25
23	Baseline	0.68	1.33	2.12	3.49	2.8	11.95	4.23	6
24	Acquired	0.14	0.5	0.81	1.74	3.15	5.34	1.69	13
24	Baseline	1.2	4.94	8.69	6.58	9.27	9.85	4.69	3
25	Acquired	0.02	0.95	2.1	3.75	5.17	32.18	4.58	105
25	Baseline	0.21	0.88	1.73	3.03	3.88	8.47	3.73	4
26	Acquired	0.04	0.76	1.39	3.27	3.61	23.27	4.53	85
26	Baseline	NA	NA	NA	NA	NA	NA	NA	0
